CityId,X,Y
1400,2609.880168,638.8299538
1401,4407.105817,1406.664667
1402,2064.837407,1456.624187
1403,2380.175949,62.49565012
1404,4738.977545,3175.742608
1405,1315.342865,3391.086917
1406,4571.620852,853.5706987
1407,1846.324759,3016.24455
1408,4676.048798,2134.886701
1409,672.2339386,2193.911548
1410,3122.86265,3258.119613
1411,4579.298773,561.2265261
1412,3729.421768,2036.269547
1413,834.7876294,1136.979679
1414,4566.87301,503.665133
1415,3977.84145,751.3708077
1416,4804.291961,3142.166945
1417,1209.493307,2866.337084
1418,4805.609462,2978.506763
1419,3419.373317,2438.42947
1420,3558.815335,3039.666089
1421,2381.109451,3354.083443
1422,105.675078,2136.930841
1423,2452.219477,1803.610438
1424,881.5030389,885.4417975
1425,4487.056704,1015.515158
1426,3541.256224,3238.646251
1427,2533.895941,1608.024066
1428,4519.370433,1935.082235
1429,56.93657745,2862.042088
1430,3749.084677,2705.55095
1431,836.9605357,3225.645253
1432,4324.202752,725.3116252
1433,3495.075803,2454.171301
1434,4359.694727,854.6335959
1435,5061.295111,2383.290199
1436,2955.342449,641.4456616
1437,2251.278246,2610.685389
1438,4308.269443,475.4429945
1439,2352.193678,580.6373932
1440,1475.291572,955.6006379
1441,665.1093191,3294.184009
1442,4027.198709,3125.523891
1443,2433.256108,1260.723401
1444,2652.771836,1812.270146
1445,3381.143087,2711.655105
1446,3386.218971,3079.639327
1447,3519.027969,2195.63925
1448,1847.904689,1398.203471
1449,2873.946617,1836.128353
1450,4505.074604,678.8381781
1451,4558.255778,1484.536825
1452,888.369181,2774.353096
1453,2277.344419,316.0036018
1454,1734.615306,1499.959505
1455,2518.023237,9.715532948
1456,716.2874359,514.6154332
1457,2405.121313,1472.947607
1458,1685.070278,766.6182226
1459,1420.350374,1150.280967
1460,3428.089201,385.7196504
1461,2873.876251,883.427941
1462,4497.675638,1540.047046
1463,3685.358901,3006.201559
1464,2516.871306,2899.608953
1465,4361.190101,502.0461652
1466,3394.512579,3017.850453
1467,3111.033033,868.0875369
1468,2144.986535,3313.961551
1469,3241.721683,1330.173813
1470,4441.333494,476.6039823
1471,3084.836623,3339.398878
1472,2690.217391,1614.556552
1473,3126.592664,2206.821773
1474,4315.748131,829.4898755
1475,2216.880599,1304.498418
1476,3049.828141,1222.59777
1477,2762.390108,1.555405344
1478,2459.398699,38.60616081
1479,4358.64018,1715.839952
1480,4006.601286,669.878482
1481,4596.553455,3263.248155
1482,1762.530999,1155.803425
1483,3895.395604,3319.921872
1484,3262.802137,2798.270016
1485,538.972933,3133.263883
1486,2746.137747,158.3784915
1487,4808.894956,2908.450967
1488,912.8962733,1102.313008
1489,2712.569445,80.15623903
1490,4026.906925,1917.646166
1491,1566.439165,1240.086479
1492,1671.629472,1221.927559
1493,1538.136742,743.903663
1494,3784.811952,1950.585683
1495,2503.006314,2884.422402
1496,3575.53155,1743.975511
1497,1300.175694,2808.643385
1498,703.5593048,287.2352746
1499,840.0126726,2730.39662
